event,pc_time_s,controller_timestamp,robot_mode,axis,target_speed_deg_s,target_delta_deg,selected_actual_deg_s,speed_error_deg_s,command_interval_ms,command_latency_ms,target_x,target_y,target_z,target_rx,target_ry,target_rz,actual_x,actual_y,actual_z,actual_rx,actual_ry,actual_rz,tcp_vx,tcp_vy,tcp_vz,tcp_wx,tcp_wy,tcp_wz,response
feedback,0.005947,1786441591334,5,Rx,0.000000,0.000000,0.006867,0.006867,,,435.910858,-66.844666,179.612076,-13.210207,89.999863,-13.210097,435.911102,-66.844696,179.612183,-13.030182,89.999809,-13.030071,0.192315,0.034912,0.160887,-0.001942,-0.039475,-0.006866,
feedback,0.010716,1786441591343,7,Rx,0.000000,0.000000,-0.006866,-0.006866,,,435.910858,-66.844666,179.612076,-13.210207,89.999863,-13.210097,435.910950,-66.844948,179.611237,-45.981770,89.999924,-45.981686,0.128919,0.033719,-0.147278,-0.008832,0.006579,0.006866,
command,0.000020,,,Rx,-5.000000,-25.000000,,,,10.531,435.910858,-66.844666,179.612076,-13.210207,89.999863,-13.210097,,,,,,,,,,,,,"0,{1508},RelMovLTool(0.000000,0.000000,0.000000,-25.000000,0.000000,0.000000,a=30,v=30,cp=0);"
feedback,0.018870,1786441591351,7,Rx,-5.000000,-25.000000,0.006866,5.006866,,,435.910858,-66.844666,179.612076,-13.210207,89.999863,-13.210097,435.910645,-66.845108,179.611557,-43.174809,89.999893,-43.174782,0.049071,-0.035191,-0.068071,-0.013733,-0.000000,-0.006866,
feedback,0.027335,1786441591360,7,Rx,-5.000000,-25.000000,0.006866,5.006866,,,435.910858,-66.844666,179.612076,-13.210207,89.999863,-13.210097,435.910675,-66.844727,179.611649,-30.555536,89.999908,-30.555426,-0.056183,-0.011994,-0.127566,-0.005895,0.019738,-0.006866,
feedback,0.035816,1786441591368,7,Rx,-5.000000,-25.000000,-0.006866,4.993134,,,435.910858,-66.844666,179.612076,-13.210207,89.999863,-13.210097,435.910614,-66.844864,179.611557,-13.629360,89.999916,-13.629223,0.114431,0.056709,0.085670,0.012762,-0.019738,0.006866,
feedback,0.043606,1786441591372,7,Rx,-5.000000,-25.000000,0.013733,5.013733,,,435.910858,-66.844666,179.612076,-13.210207,89.999863,-13.210097,435.910950,-66.845016,179.611633,-52.133781,89.999870,-52.133755,0.101728,0.012642,0.016319,-0.004901,-0.006579,-0.013733,
feedback,0.052407,1786441591380,7,Rx,-5.000000,-25.000000,-0.020599,4.979401,,,435.910858,-66.844666,179.612076,-13.210207,89.999863,-13.210097,435.910980,-66.844742,179.611832,-41.666496,89.999863,-41.666386,0.006934,0.069662,0.047763,0.001965,-0.006579,0.020599,
feedback,0.059978,1786441591389,7,Rx,-5.000000,-25.000000,0.006866,5.006866,,,435.910858,-66.844666,179.612076,-13.210207,89.999863,-13.210097,435.910736,-66.844986,179.611511,-57.283897,89.999901,-57.283844,0.058337,0.022212,0.032041,-0.004901,-0.006579,-0.006866,
feedback,0.068627,1786441591397,7,Rx,-5.000000,-25.000000,-0.020599,4.979401,,,435.910858,-66.844666,179.612076,-13.210207,89.999863,-13.210097,435.910797,-66.844429,179.611588,-30.555620,89.999908,-30.555401,0.093717,0.095583,0.016319,0.008832,-0.006579,0.020599,
feedback,0.076316,1786441591406,7,Rx,-5.000000,-25.000000,-0.137329,4.862671,,,435.910858,-66.844666,179.612076,-13.210207,89.999863,-13.210097,435.910553,-66.842369,179.611511,-57.284084,89.999901,-57.283012,-0.058624,0.351147,-0.164876,-0.007861,0.026317,0.137329,
feedback,0.084331,1786441591414,7,Rx,-5.000000,-25.000000,-1.167297,3.832703,,,435.910858,-66.844666,179.612076,-13.210207,89.999863,-13.210097,435.909912,-66.811264,179.610992,-130.102463,89.999878,-130.090958,-0.102953,3.444514,-0.154430,-0.000992,0.026319,1.167297,
feedback,0.092718,1786441591423,7,Rx,-5.000000,-25.000000,-1.242828,3.757172,,,435.910858,-66.844666,179.612076,-13.210207,89.999863,-13.210097,435.908600,-66.787766,179.611267,-121.503647,89.999901,-121.482361,-0.275391,2.712296,-0.016408,0.004903,0.006582,1.242828,
feedback,0.101017,1786441591431,7,Rx,-5.000000,-25.000000,-1.256561,3.743439,,,435.910858,-66.844666,179.612076,-13.210207,89.999863,-13.210097,435.904999,-66.774895,179.611221,-136.032471,89.999855,-136.001236,-0.451811,1.366430,0.052865,0.008834,-0.006575,1.256561,
feedback,0.108977,1786441591439,7,Rx,-5.000000,-25.000000,-1.407623,3.592377,,,435.910858,-66.844666,179.612076,-13.210207,89.999863,-13.210097,435.900726,-66.767540,179.611069,-129.225006,89.999832,-129.182785,-0.596918,0.808544,0.068506,-0.004899,-0.006584,1.407623,
feedback,0.117586,1786441591448,7,Rx,-5.000000,-25.000000,-1.318359,3.681641,,,435.910858,-66.844666,179.612076,-13.210207,89.999863,-13.210097,435.896942,-66.771759,179.613144,-16.533058,89.999779,-16.480131,-0.476952,-1.005241,0.329432,0.015689,-0.052643,1.318359,
feedback,0.125444,1786441591456,7,Rx,-5.000000,-25.000000,-1.544952,3.455048,,,435.910858,-66.844666,179.612076,-13.210207,89.999863,-13.210097,435.892792,-66.783432,179.616623,7.878042,89.999199,7.942669,-0.525373,-1.340773,0.430857,0.007795,-0.072414,1.544952,
feedback,0.133294,1786441591465,7,Rx,-5.000000,-25.000000,-1.613617,3.386383,,,435.910858,-66.844666,179.612076,-13.210207,89.999863,-13.210097,435.890656,-66.792099,179.620422,12.956070,89.998489,13.033661,-0.296320,-1.073996,0.415156,0.021472,-0.072415,1.613617,
feedback,0.141554,1786441591473,7,Rx,-5.000000,-25.000000,-1.998138,3.001862,,,435.910858,-66.844666,179.612076,-13.210207,89.999863,-13.210097,435.890228,-66.792114,179.625626,14.231550,89.997612,14.324220,0.012296,0.335219,0.553310,0.034135,-0.092171,1.998139,
feedback,0.150275,1786441591481,7,Rx,-5.000000,-25.000000,-2.396393,2.603607,,,435.910858,-66.844666,179.612076,-13.210207,89.999863,-13.210097,435.888641,-66.788399,179.629776,15.121905,89.997078,15.233224,-0.180459,0.247614,0.588046,0.014443,-0.072476,2.396393,
