event,pc_time_s,controller_timestamp,robot_mode,segment,planned_rx_deg_s,planned_ry_deg_s,planned_rz_deg_s,cp,actual_wx_deg_s,actual_wy_deg_s,actual_wz_deg_s,latency_ms,response
feedback,0.012475,1786507955946,5,0,0.0,0.0,0.0,,0.004449352156370878,0.006426963489502668,0.006866436451673508,,
feedback,0.020836,1786507955955,5,0,0.0,0.0,0.0,,0.009668504819273949,-0.025707805529236794,0.04119873046875,,
command,0.011633,,,1,5.0,0.0,0.0,100,,,,11.427,"0,{70},RelMovLTool(0.000000,0.000000,0.000000,23.000000,0.000000,0.000000,a=30,v=23,cp=100);"
feedback,0.025384,1786507955963,7,1,5.0,0.0,0.0,,-0.006866347044706345,3.0679316864734574e-08,0.03433229774236679,,
feedback,0.029877,1786507955972,7,1,5.0,0.0,0.0,,-0.004449330270290375,-0.006426955573260784,2.156882850101738e-08,,
feedback,0.038510,1786507955980,7,1,5.0,0.0,0.0,,-0.004449336789548397,-0.006426951382309198,1.8485284414282432e-08,,
command,0.032007,,,2,4.166666666666667,0.8333333333333334,0.0,100,,,,9.313,"0,{71},RelMovLTool(0.000000,0.000000,0.000000,0.555556,0.111111,0.000000,a=30,v=19,cp=100);"
feedback,0.047467,1786507955984,7,2,4.166666666666667,0.8333333333333334,0.0,,-0.009668474085628986,0.025707818567752838,-0.006866455078125,,
feedback,0.054943,1786507955993,7,2,4.166666666666667,0.8333333333333334,0.0,,0.0048341997899115086,-0.012853923253715038,-0.01373291015625,,
feedback,0.063459,1786507956001,7,2,4.166666666666667,0.8333333333333334,0.0,,0.014117764309048653,-0.019280876964330673,-1.848531638870554e-08,,
feedback,0.070948,1786507956009,7,2,4.166666666666667,0.8333333333333334,0.0,,-0.0048342058435082436,0.012853920459747314,-0.006866455078125,,
command,0.059201,,,3,3.333333333333333,1.6666666666666667,0.0,100,,,,5.826,"0,{72},RelMovLTool(0.000000,0.000000,0.000000,0.444444,0.222222,0.000000,a=30,v=15,cp=100);"
feedback,0.079403,1786507956018,7,3,3.333333333333333,1.6666666666666667,0.0,,-0.007636101450771093,0.038561783730983734,-4.312900614422688e-08,,
command,0.071964,,,4,2.5,2.5,0.0,100,,,,5.303,"0,{73},RelMovLTool(0.000000,0.000000,0.000000,0.333333,0.333333,0.000000,a=30,v=11,cp=100);"
feedback,0.090294,1786507956026,7,4,2.5,2.5,0.0,,-0.05916494131088257,0.21208971738815308,0.006865863688290119,,
feedback,0.095462,1786507956035,7,4,2.5,2.5,0.0,,-0.12229371815919876,0.5077266097068787,-0.07553704082965851,,
feedback,0.103958,1786507956043,7,4,2.5,2.5,0.0,,-0.21850696206092834,0.854772686958313,-0.11674969643354416,,
command,0.093633,,,5,1.6666666666666665,3.3333333333333335,0.0,100,,,,11.553,"0,{74},RelMovLTool(0.000000,0.000000,0.000000,0.222222,0.444444,0.000000,a=30,v=15,cp=100);"
feedback,0.112140,1786507956052,7,5,1.6666666666666665,3.3333333333333335,0.0,,-0.3152342438697815,1.111832618713379,-0.16482989490032196,,
feedback,0.120256,1786507956061,7,5,1.6666666666666665,3.3333333333333335,0.0,,-0.34141209721565247,1.2724696397781372,-0.24039655923843384,,
command,0.115418,,,6,0.833333333333333,4.166666666666667,0.0,100,,,,5.013,"0,{75},RelMovLTool(0.000000,0.000000,0.000000,0.111111,0.555556,0.000000,a=30,v=19,cp=100);"
feedback,0.129237,1786507956069,7,6,0.833333333333333,4.166666666666667,0.0,,-0.27069222927093506,1.3945302963256836,-0.26797163486480713,,
feedback,0.136832,1786507956078,7,6,0.833333333333333,4.166666666666667,0.0,,-0.1839287430047989,1.4008982181549072,-0.23380126059055328,,
feedback,0.144824,1786507956086,7,6,0.833333333333333,4.166666666666667,0.0,,-0.07117309421300888,1.484405279159546,-0.15164515376091003,,
command,0.139841,,,7,0.0,5.0,0.0,100,,,,8.143,"0,{76},RelMovLTool(0.000000,0.000000,0.000000,0.000000,0.666667,0.000000,a=30,v=23,cp=100);"
